email_text,category,urgency,tone
My room AC is not working for 3 days. This is very urgent.,Hostel,Critical,Frustrated
Where is the admin office located?,General,High,Neutral
I want to drop COA. What's the procedure?,Academic/Course,Critical,Polite
I have food allergies. Can I get special meal arrangements?,Mess,Critical,Confused
I got 19 in CN midsem but my answers were correct. Please recheck.,Marks/Reeval,Critical,Polite
Mess timings don't work with my lab schedule. Can this be changed?,Mess,High,Angry
Can I audit Maths instead of credit? Please advise.,Academic/Course,Low,Polite
I want to drop CN. What's the procedure?,Academic/Course,Critical,Appreciative
My campus login credentials are not working. Please reset.,Technical,Low,Polite
I'm very sick and need 3 days medical leave for ML.,Medical,Critical,Confused
How long does it take to get the degree certificate?,Certificate,Critical,Neutral
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,Medium,Frustrated
I'm very sick and need 3 days medical leave for AI.,Medical,Critical,Appreciative
I got 17 in OS midsem but my answers were correct. Please recheck.,Marks/Reeval,High,Polite
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,Medium,Frustrated
I can't access Moodle. Getting server error repeatedly.,Technical,Critical,Polite
I need transcript copies for MS application. What's the process?,Certificate,Medium,Frustrated
I want to drop DBMS. What's the procedure?,Academic/Course,High,Confused
The food quality in mess is terrible. We need better options.,Mess,High,Frustrated
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,High,Angry
I have food allergies. Can I get special meal arrangements?,Mess,Low,Angry
I need transcript copies for MS application. What's the process?,Certificate,High,Neutral
The DBMS assignment deadline is too tight. Can we get an extension?,Assignment,Medium,Angry
Can I change my room? My roommate is very noisy.,Hostel,High,Polite
My marks for AI assignment are very low. Can I get a re-evaluation?,Marks/Reeval,High,Neutral
The food quality in mess is terrible. We need better options.,Mess,High,Polite
What are the library timings during exams?,General,Low,Frustrated
I lost my ID card. How do I get a duplicate?,General,Critical,Neutral
I haven't received my scholarship yet. When will it be credited?,Finance/Fee,Low,Polite
"Dear Sir, I need attendance condonation for DS. I was sick for 2 weeks.",Attendance,Low,Polite
I need attendance exemption due to dengue. Attaching medical reports.,Medical,Critical,Frustrated
"Hi, my attendance for Maths is showing 60% but I attended all classes. Please check.",Attendance,Critical,Polite
My campus login credentials are not working. Please reset.,Technical,Low,Polite
I'm confused about problem 1 in DBMS assignment. Please clarify.,Assignment,High,Polite
My attendance is not updated for DBMS. Kindly update it ASAP.,Attendance,Critical,Frustrated
I need transcript copies for MS application. What's the process?,Certificate,Critical,Neutral
I need attendance exemption due to dengue. Attaching medical reports.,Medical,Low,Appreciative
My DBMS assignment submission failed. Please accept late submission.,Assignment,Medium,Polite
Mess timings don't work with my lab schedule. Can this be changed?,Mess,Low,Polite
The Maths assignment deadline is too tight. Can we get an extension?,Assignment,Critical,Appreciative
I'm very sick and need 3 days medical leave for Physics.,Medical,Critical,Neutral
I need attendance exemption due to dengue. Attaching medical reports.,Medical,Medium,Angry
I need attendance exemption due to dengue. Attaching medical reports.,Medical,Low,Appreciative
What are the library timings during exams?,General,Medium,Confused
The Physics assignment deadline is too tight. Can we get an extension?,Assignment,Critical,Neutral
I lost my ID card. How do I get a duplicate?,General,Medium,Angry
What are the library timings during exams?,General,High,Neutral
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,Critical,Angry
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,Medium,Frustrated
I lost my ID card. How do I get a duplicate?,General,Critical,Appreciative
Where is the admin office located?,General,Low,Neutral
I have food allergies. Can I get special meal arrangements?,Mess,Critical,Polite
I want to drop AI. What's the procedure?,Academic/Course,Low,Frustrated
My AI assignment submission failed. Please accept late submission.,Assignment,High,Polite
I'm very sick and need 3 days medical leave for CN.,Medical,Critical,Angry
Can you approve my medical certificate? I was hospitalized last week.,Medical,High,Neutral
I can't access Moodle. Getting server error repeatedly.,Technical,High,Polite
My campus login credentials are not working. Please reset.,Technical,Critical,Polite
I lost my ID card. How do I get a duplicate?,General,Critical,Angry
The food quality in mess is terrible. We need better options.,Mess,Critical,Frustrated
My attendance is not updated for DS. Kindly update it ASAP.,Attendance,Critical,Angry
The food quality in mess is terrible. We need better options.,Mess,Critical,Appreciative
My marks for OS assignment are very low. Can I get a re-evaluation?,Marks/Reeval,High,Appreciative
I need a bonafide certificate urgently for visa application.,Certificate,Critical,Angry
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,Low,Frustrated
I got 16 in DS midsem but my answers were correct. Please recheck.,Marks/Reeval,Low,Polite
"Dear Sir, I need attendance condonation for DS. I was sick for 2 weeks.",Attendance,Low,Angry
The food quality in mess is terrible. We need better options.,Mess,Medium,Angry
Can I audit CN instead of credit? Please advise.,Academic/Course,Low,Polite
The food quality in mess is terrible. We need better options.,Mess,Low,Frustrated
Can I audit Maths instead of credit? Please advise.,Academic/Course,Low,Polite
What are the library timings during exams?,General,Critical,Neutral
I lost my ID card. How do I get a duplicate?,General,Low,Angry
I'm very sick and need 3 days medical leave for COA.,Medical,Critical,Confused
My DS assignment submission failed. Please accept late submission.,Assignment,High,Polite
The food quality in mess is terrible. We need better options.,Mess,Medium,Frustrated
Mess timings don't work with my lab schedule. Can this be changed?,Mess,Low,Angry
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,Critical,Angry
I want to drop COA. What's the procedure?,Academic/Course,Critical,Appreciative
"Dear Sir, I need attendance condonation for COA. I was sick for 2 weeks.",Attendance,Medium,Confused
I can't access Moodle. Getting server error repeatedly.,Technical,Low,Neutral
I haven't received my scholarship yet. When will it be credited?,Finance/Fee,Critical,Neutral
My marks for DBMS assignment are very low. Can I get a re-evaluation?,Marks/Reeval,Critical,Frustrated
My attendance is not updated for DBMS. Kindly update it ASAP.,Attendance,Critical,Angry
I'm confused about problem 1 in COA assignment. Please clarify.,Assignment,Low,Polite
There's an error in my fee receipt. Please correct it.,Finance/Fee,Low,Polite
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,Low,Appreciative
My DS assignment submission failed. Please accept late submission.,Assignment,High,Polite
My Maths assignment submission failed. Please accept late submission.,Assignment,Critical,Polite
I want to drop COA. What's the procedure?,Academic/Course,Critical,Neutral
There's an error in my fee receipt. Please correct it.,Finance/Fee,High,Polite
There's an error in my OS grade calculation. Please verify.,Marks/Reeval,High,Polite
My room AC is not working for 3 days. This is very urgent.,Hostel,Critical,Frustrated
I'm confused about problem 4 in CN assignment. Please clarify.,Assignment,Low,Polite
I lost my ID card. How do I get a duplicate?,General,Critical,Neutral
The DS prerequisites are not clear. Can you clarify?,Academic/Course,High,Angry
Can you approve my medical certificate? I was hospitalized last week.,Medical,Critical,Neutral
I lost my ID card. How do I get a duplicate?,General,High,Neutral
There's an error in my fee receipt. Please correct it.,Finance/Fee,High,Polite
I can't access Moodle. Getting server error repeatedly.,Technical,High,Neutral
The food quality in mess is terrible. We need better options.,Mess,Critical,Neutral
Can I change my room? My roommate is very noisy.,Hostel,Low,Polite
Can I audit ML instead of credit? Please advise.,Academic/Course,Low,Polite
The DBMS assignment deadline is too tight. Can we get an extension?,Assignment,Low,Appreciative
There's an error in my DS grade calculation. Please verify.,Marks/Reeval,Medium,Polite
I need transcript copies for MS application. What's the process?,Certificate,Low,Frustrated
"Dear Sir, I need attendance condonation for OS. I was sick for 2 weeks.",Attendance,Critical,Angry
I need transcript copies for MS application. What's the process?,Certificate,Critical,Appreciative
Can I change my room? My roommate is very noisy.,Hostel,Medium,Confused
My attendance is not updated for AI. Kindly update it ASAP.,Attendance,Critical,Angry
Can I change my room? My roommate is very noisy.,Hostel,Low,Neutral
My attendance is not updated for Physics. Kindly update it ASAP.,Attendance,Critical,Frustrated
I lost my ID card. How do I get a duplicate?,General,Low,Neutral
Where is the admin office located?,General,Low,Angry
Can I change my room? My roommate is very noisy.,Hostel,Medium,Confused
I need a bonafide certificate urgently for visa application.,Certificate,Critical,Frustrated
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,High,Neutral
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,Medium,Confused
I need a bonafide certificate urgently for visa application.,Certificate,Critical,Frustrated
I need transcript copies for MS application. What's the process?,Certificate,Critical,Neutral
I need attendance exemption due to dengue. Attaching medical reports.,Medical,Low,Appreciative
My campus login credentials are not working. Please reset.,Technical,Medium,Polite
There's an error in my DS grade calculation. Please verify.,Marks/Reeval,Low,Polite
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,Critical,Angry
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,Medium,Neutral
Can I audit CN instead of credit? Please advise.,Academic/Course,High,Polite
I'm confused about problem 3 in DBMS assignment. Please clarify.,Assignment,High,Polite
The OS prerequisites are not clear. Can you clarify?,Academic/Course,Critical,Polite
I'm confused about problem 2 in Maths assignment. Please clarify.,Assignment,Medium,Polite
"Hi, my attendance for Physics is showing 66% but I attended all classes. Please check.",Attendance,Medium,Polite
I got 23 in DBMS midsem but my answers were correct. Please recheck.,Marks/Reeval,Medium,Polite
There's a water leakage in room 3. Please send maintenance.,Hostel,Critical,Polite
"Dear Sir, I need attendance condonation for DS. I was sick for 2 weeks.",Attendance,Critical,Frustrated
I got 16 in DS midsem but my answers were correct. Please recheck.,Marks/Reeval,High,Polite
My attendance is not updated for OS. Kindly update it ASAP.,Attendance,Critical,Angry
I can't access Moodle. Getting server error repeatedly.,Technical,Low,Frustrated
I haven't received my scholarship yet. When will it be credited?,Finance/Fee,Medium,Appreciative
Can you approve my medical certificate? I was hospitalized last week.,Medical,High,Angry
I need attendance exemption due to dengue. Attaching medical reports.,Medical,Critical,Angry
I can't access Moodle. Getting server error repeatedly.,Technical,Medium,Angry
My campus login credentials are not working. Please reset.,Technical,High,Polite
There's a water leakage in room 1. Please send maintenance.,Hostel,High,Polite
What are the library timings during exams?,General,High,Neutral
The food quality in mess is terrible. We need better options.,Mess,Low,Polite
"Hi, my attendance for OS is showing 68% but I attended all classes. Please check.",Attendance,Medium,Polite
There's an error in my fee receipt. Please correct it.,Finance/Fee,Medium,Polite
My marks for DS assignment are very low. Can I get a re-evaluation?,Marks/Reeval,Low,Frustrated
I need attendance exemption due to dengue. Attaching medical reports.,Medical,Critical,Angry
My DBMS assignment submission failed. Please accept late submission.,Assignment,Medium,Polite
I lost my ID card. How do I get a duplicate?,General,High,Confused
Can I change my room? My roommate is very noisy.,Hostel,Critical,Neutral
Can you approve my medical certificate? I was hospitalized last week.,Medical,Low,Polite
There's a water leakage in room 5. Please send maintenance.,Hostel,High,Polite
The food quality in mess is terrible. We need better options.,Mess,Critical,Angry
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,Medium,Frustrated
Can I change my room? My roommate is very noisy.,Hostel,Critical,Angry
My marks for COA assignment are very low. Can I get a re-evaluation?,Marks/Reeval,Low,Polite
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,Low,Confused
My attendance is not updated for DS. Kindly update it ASAP.,Attendance,Critical,Angry
I need a bonafide certificate urgently for visa application.,Certificate,Critical,Frustrated
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,High,Neutral
I need a bonafide certificate urgently for visa application.,Certificate,Critical,Angry
"Hi, my attendance for CN is showing 64% but I attended all classes. Please check.",Attendance,Critical,Polite
How long does it take to get the degree certificate?,Certificate,Critical,Polite
I'm very sick and need 3 days medical leave for ML.,Medical,Critical,Angry
Where is the admin office located?,General,Low,Neutral
"Dear Sir, I need attendance condonation for Physics. I was sick for 2 weeks.",Attendance,Medium,Frustrated
Can you approve my medical certificate? I was hospitalized last week.,Medical,Low,Angry
I need attendance exemption due to dengue. Attaching medical reports.,Medical,High,Angry
I want to drop ML. What's the procedure?,Academic/Course,Critical,Angry
The DBMS prerequisites are not clear. Can you clarify?,Academic/Course,Medium,Confused
My room AC is not working for 3 days. This is very urgent.,Hostel,Critical,Angry
I'm confused about problem 2 in DS assignment. Please clarify.,Assignment,Low,Polite
I'm confused about problem 1 in Maths assignment. Please clarify.,Assignment,High,Polite
I need attendance exemption due to dengue. Attaching medical reports.,Medical,Low,Angry
I need transcript copies for MS application. What's the process?,Certificate,Critical,Frustrated
I have food allergies. Can I get special meal arrangements?,Mess,High,Polite
Mess timings don't work with my lab schedule. Can this be changed?,Mess,Low,Appreciative
There's a water leakage in room 3. Please send maintenance.,Hostel,Medium,Polite
My AI assignment submission failed. Please accept late submission.,Assignment,Medium,Polite
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,High,Frustrated
I can't access Moodle. Getting server error repeatedly.,Technical,High,Polite
I lost my ID card. How do I get a duplicate?,General,Low,Frustrated
How long does it take to get the degree certificate?,Certificate,Critical,Polite
Can I pay my hostel fee in installments? I'm facing financial issues.,Finance/Fee,Low,Confused
I can't access Moodle. Getting server error repeatedly.,Technical,Low,Angry
My attendance is not updated for DS. Kindly update it ASAP.,Attendance,Critical,Frustrated
I need transcript copies for MS application. What's the process?,Certificate,Low,Appreciative
My marks for DBMS assignment are very low. Can I get a re-evaluation?,Marks/Reeval,Low,Confused
How long does it take to get the degree certificate?,Certificate,Medium,Appreciative
Can you approve my medical certificate? I was hospitalized last week.,Medical,Critical,Confused
I lost my ID card. How do I get a duplicate?,General,Critical,Angry
WiFi is not working in my hostel for 2 days. Very frustrated!,Technical,Medium,Appreciative
I have food allergies. Can I get special meal arrangements?,Mess,Medium,Neutral
I lost my ID card. How do I get a duplicate?,General,Critical,Polite
I want to drop CN. What's the procedure?,Academic/Course,Low,Angry
